"Adjusted price
(in millions)","Original price
(in millions)",Painting,Image,Artist,Year,Date of sale,"Rank
at sale",Seller,Buyer,Auction house,Aspect Width,Aspect Height,Width Percent,Area,Relative Area,Width,Height
75.8,70.2,*Portrait of George Dyer Talking*,*Portrait of George Dyer Talking*.jpg,Francis Bacon,1966,2/13/2014,,unknown 9,unknown 35,Christie's,980,1320,0.74,1293600,248871,430,579
75.7,47.5,*Peasant Woman Againsta Background of Wheat*,Vincent_Willem_van_Gogh_097.jpg,Vincent van Gogh,1890,6/19/1905,11,unknown 10,Steve Wynn,"Private sale via
Acquavella Galleries Inc.,
New York",1576,2002,0.79,3155152,248542,442,562
75.2,69.6,*Four Marlons*,*Four Marlons*.jpg,Andy Warhol,1966,11/12/2014,,WestSpiel,unknown 36,Christie's,1365,1723,0.79,2351895,246901,442,558
75.2,69.6,*Untitled*,Untitledcytwombly.jpg,Cy Twombly,1970,11/12/2014,,Nicola del Roscio,unknown 37,Christie's,2000,1391,1.44,2782000,246901,596,414
74.4,65.5,*Eagle Standing on Pine Tree*[128],Qi_Baishi_Eagle.jpg,Qi Baishi,1946,5/22/2011,,Liu Yiqian,"Hunan TV & Broadcast
Intermediary Co",China Guardian Auctions,945,1062,0.89,1003590,244274,466,524
74.3,63.4,*Men in Her Life*,*Men in Her Life*.jpg,Andy Warhol,1962,11/8/2010,,Jose Mugrabi,Sheikh Hamad bin Khalifa Al-Thani,Phillips de Pury & Company,1473,1500,0.98,2209500,243946,489,498
73.1,70.1,*Contraste de formes*,*Contraste de formes*.jpg,Fernand Léger,1913,11/13/2017,,Anna-Maria and Stephen Kellen Foundation,unknown 38,Christie's,1025,1280,0.80,1312000,240006,438,547
72.8,67.5,*La Gommeuse*,La_Gommeuse.jpg,Pablo Picasso,1901,11/5/2015,,William I. Koch,unknown 39,Sotheby's,1307,2000,0.65,2614000,239021,395,605
72.7,67.4,*Buste de femme(Femme à la résille)*,*Buste de femme(Femme à la résille)*.jpg,Pablo Picasso,1938,5/11/2015,,Steve Wynn,Joseph Lau,Christie's,2737,3200,0.86,8758400,238693,452,528
72.6,35.2,*Portrait of a Halberdier*,Pontormo.jpg,Pontormo,1537,5/31/1989,5,Chauncey Stillman,Getty Museum,Christie's,3261,4295,0.76,14005995,238364,425,560
71.5,66.3,*L’Allée des Alyscamps*,Les_Alyscamps.jpeg,Vincent van Gogh,1888,5/5/2015,,unknown 11,unknown 40,Sotheby's,3876,5070,0.76,19651320,234753,424,554
71.5,66.2,*Untitled*,Untitled 1962 Rothko.jpg,Mark Rothko,1952,5/13/2014,,Private Collection 6,Anonymous 4,Christie's,907,1024,0.89,928768,234753,456,515
70.7,66.3,*Untitled XXV*,*Untitled XXV*.jpg,Willem de Kooning,1977,11/15/2016,,unknown 12,unknown 41,Christie's,1280,1117,1.15,1429760,232126,516,450
70.6,62.1,*Zhichuan Resettlement*,ZhichuanResettlement.jpg,Wang Meng,1350,6/4/2011,,unknown 13,unknown 42,Beijing Poly Auction,1600,3443,0.46,5508800,231798,328,706
70.5,69.2,Femme au béret et à la robe quadrillée (Marie-Thérèse Walter),Femme au béret et à la robe quadrillée (Marie-Thérèse Walter).jpg,Pablo Picasso,1937,2/28/2018,,Private collection 7,Harry Smith,Sotheby's,418,580,0.72,242440,231469,408,567
70.3,65.1,*Jeanne (Spring)*,Jeanne_(Spring).jpg,Édouard Manet,1881,11/5/2014,,Oliver Hazard Payne heirs,Getty Museum,Christie's,706,1024,0.69,722944,230813,399,579
70.2,68.9,*Woman as Landscape*,*Woman as Landscape*.jpg,Willem de Kooning,1955,11/13/2018,,Barney A. Ebsworth estate,unknown 43,Christie's,2460,3200,0.77,7872000,230484,421,548
70.1,61.7,*1949-A-No.1*,*1949-A-No.1*.jpg,Clyfford Still,1949,11/9/2011,,City and County of Denver,unknown 44,Sotheby's,3386,4000,0.85,13544000,230156,441,521
